timestamp,can_msg.data,can_msg.dlc,can_msg.id,error_mask,error_messages,header.frame_id,header.stamp.nanosec,header.stamp.sec,reset_required
1763324811868717674,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,868487880,1763324811,False
1763324812873305333,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,872516622,1763324812,False
1763324813874857489,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,874647055,1763324813,False
1763324814882210183,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,878520777,1763324814,False
1763324815879626228,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,879385234,1763324815,False
1763324816889577812,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,889164048,1763324816,False
1763324817885966060,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,885178021,1763324817,False
1763324818893284745,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,893001958,1763324818,False
1763324819900056267,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,899161827,1763324819,False
1763324820904389474,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,903680988,1763324820,False
1763324821899842585,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,899194195,1763324821,False
1763324822907228157,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,906992635,1763324822,False
1763324823908358646,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,907275885,1763324823,False
1763324824913618204,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,913228057,1763324824,False
1763324825913639455,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,913265820,1763324825,False
1763324826915516379,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,914178736,1763324826,False
1763324827921366051,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,920685373,1763324827,False
1763324828921556740,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,921044287,1763324828,False
1763324829932743563,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,931653762,1763324829,False
1763324830933420835,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,932525340,1763324830,False
1763324831936562842,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,935949077,1763324831,False
1763324832943729468,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,943212504,1763324832,False
1763324833939664104,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,937515830,1763324833,False
1763324834942149493,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,941751090,1763324834,False
1763324835948806255,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,948095369,1763324835,False
1763324836957059232,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,956210009,1763324836,False
1763324837956816594,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,956406671,1763324837,False
1763324838960477615,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,958224315,1763324838,False
1763324839961884193,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,961342589,1763324839,False
1763324840960514949,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,960118722,1763324840,False
1763324841970295666,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,969914255,1763324841,False
1763324842971386110,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,970606903,1763324842,False
1763324843979792242,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,978455910,1763324843,False
1763324844980793807,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,979834759,1763324844,False
1763324845984414412,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,983821063,1763324845,False
1763324846984591861,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,984296754,1763324846,False
1763324847991689154,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,990993820,1763324847,False
1763324848990081613,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,989865836,1763324848,False
1763324849990474291,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,990100688,1763324849,False
1763324850999656174,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,998615589,1763324850,False
1763324852000601419,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,999447329,1763324851,False
1763324853007143329,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,6616669,1763324853,False
1763324854008292530,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,7925231,1763324854,False
1763324855005717995,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,5487401,1763324855,False
1763324856011616343,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,11112370,1763324856,False
1763324857016797094,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,15946398,1763324857,False
1763324858024830774,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,23789421,1763324858,False
1763324859023599263,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,22053905,1763324859,False
1763324860025507468,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,24603972,1763324860,False
1763324861029249810,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,28599276,1763324861,False
1763324862030818542,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,30614700,1763324862,False
1763324863039652307,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,39119054,1763324863,False
1763324864046214156,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,45591495,1763324864,False
1763324865047036700,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,44275748,1763324865,False
1763324866053563816,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,52312669,1763324866,False
1763324867051880435,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,51686385,1763324867,False
1763324868051330417,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,50344937,1763324868,False
1763324869052957356,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,52490247,1763324869,False
1763324870064666888,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,63775968,1763324870,False
1763324871068150692,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,67779265,1763324871,False
1763324872066296378,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,63908741,1763324872,False
1763324873069861864,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,69125922,1763324873,False
1763324874069261178,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,68443859,1763324874,False
1763324875077466595,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,77186753,1763324875,False
1763324876080908203,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,79926690,1763324876,False
1763324877088300990,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,87256021,1763324877,False
1763324878081710173,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,81043671,1763324878,False
1763324879095711709,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,94647764,1763324879,False
1763324880099153735,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,97094005,1763324880,False
1763324881092092924,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,91680120,1763324881,False
1763324882104704809,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,104312454,1763324882,False
1763324883110210943,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,109288887,1763324883,False
1763324884111235350,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,110653425,1763324884,False
1763324885114908045,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,114282695,1763324885,False
1763324886111433292,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,111180874,1763324886,False
1763324887117559818,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,115109012,1763324887,False
1763324888122356356,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,122150562,1763324888,False
1763324889128618549,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,125317271,1763324889,False
1763324890126126398,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,125895548,1763324890,False
1763324891132627265,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,128650493,1763324891,False
1763324892133183223,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,132843668,1763324892,False
1763324893136999379,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,136469902,1763324893,False
1763324894141736160,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,141171930,1763324894,False
1763324895138902928,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,138006120,1763324895,False
1763324896147057164,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,146502663,1763324896,False
1763324897143436742,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,143124419,1763324897,False
1763324898154697071,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,153853511,1763324898,False
1763324899158281019,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,157617237,1763324899,False
1763324900156769312,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,156279676,1763324900,False
1763324901166915128,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,166543989,1763324901,False
1763324902167918341,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,166426488,1763324902,False
1763324903173237058,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,171959382,1763324903,False
1763324904171132195,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,170413948,1763324904,False
1763324905179536748,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,178929958,1763324905,False
1763324906183408276,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,182994768,1763324906,False
1763324907184230088,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,183902373,1763324907,False
1763324908189231947,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,188681798,1763324908,False
1763324909184305627,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,183917047,1763324909,False
1763324910190366711,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,189857491,1763324910,False
1763324911196852000,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,196491293,1763324911,False
1763324912197214936,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,196662643,1763324912,False
1763324913206917583,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,206641580,1763324913,False
1763324914200779675,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,200514329,1763324914,False
1763324915207395078,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,206932289,1763324915,False
1763324916208751847,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,208560742,1763324916,False
1763324917214706076,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,214059318,1763324917,False
1763324918217841470,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,217213784,1763324918,False
1763324919220666533,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,220006655,1763324919,False
1763324920227504313,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,227106038,1763324920,False
1763324921224510874,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,223709619,1763324921,False
1763324922230917755,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,230009330,1763324922,False
1763324923233921859,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,233282525,1763324923,False
1763324924238205344,[0 0 0 0 0 0 0 0],8,263,0,[],Errors,237390584,1763324924,False
1763324925246342856,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,245142653,1763324925,False
1763324926242758475,[  0   0   0   0   0 128   0   0],8,263,8388608,"['Ng min stop: Rotor speed below 25kRPM. Engine shut down, autocooling commanded. (Reset condition: Once within limits)']",Errors,241249821,1763324926,False
