timestamp,battery_current,battery_voltage,can_msg.data,can_msg.dlc,can_msg.id,flags,header.frame_id,header.stamp.nanosec,header.stamp.sec
1763324965514920795,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,514501207,1763324965
1763324965607644758,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,607305587,1763324965
1763324965711277147,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,710833590,1763324965
1763324965815537989,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,815036192,1763324965
1763324965908414818,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,907725371,1763324965
1763324966011411456,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,10615001,1763324966
1763324966113381558,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,112981394,1763324966
1763324966216165747,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,215704462,1763324966
1763324966312398385,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,309689686,1763324966
1763324966436956639,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,436376601,1763324966
1763324966518737458,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,518401519,1763324966
1763324966611181771,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,610988874,1763324966
1763324966713462276,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,713145761,1763324966
1763324966818204371,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,817098121,1763324966
1763324966919538755,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,919241888,1763324966
1763324967012044477,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,11577048,1763324967
1763324967120584466,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,117894360,1763324967
1763324967220574805,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,219801837,1763324967
1763324967313304306,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,312396873,1763324967
1763324967438359750,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,437517502,1763324967
1763324967520695071,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,520472381,1763324967
1763324967614875946,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,613526141,1763324967
1763324967716647326,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,716114968,1763324967
1763324967819983521,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,819602717,1763324967
1763324967922375515,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,921982295,1763324967
1763324968015883839,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,15343034,1763324968
1763324968118463324,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,117488210,1763324968
1763324968221459484,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,220647380,1763324968
1763324968324119193,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,323587924,1763324968
1763324968450682301,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,448343527,1763324968
1763324968520826913,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,520264284,1763324968
1763324968626501915,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,625641075,1763324968
1763324968720231555,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,719449403,1763324968
1763324968824188428,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,822992193,1763324968
1763324968920455084,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,919888711,1763324968
1763324969023417292,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,22878887,1763324969
1763324969125997226,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,125400484,1763324969
1763324969220747035,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,219500399,1763324969
1763324969324649765,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,323449018,1763324969
1763324969448753394,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,448047083,1763324969
1763324969523899719,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,520136931,1763324969
1763324969625010294,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,622684672,1763324969
1763324969726853516,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,724770520,1763324969
1763324969822254628,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,821436348,1763324969
1763324969925156805,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,924138363,1763324969
1763324970028368040,0.4000000059604645,13.399999618530273,[134   2   0   0   0   0   0   0],5,257,0,Voltage/Current,27214429,1763324970
