timestamp,can_msg.data,can_msg.dlc,can_msg.id,header.frame_id,header.stamp.nanosec,header.stamp.sec,runs_aborted,runs_ok,total_runtime
1763324820862348673,[ 0 42  0 16  0  0 51 12],8,259,Statistics,861947998,1763324820,16,42,13068
1763324821857665238,[ 0 42  0 16  0  0 51 13],8,259,Statistics,857271699,1763324821,16,42,13069
1763324822866475302,[ 0 42  0 16  0  0 51 14],8,259,Statistics,865622911,1763324822,16,42,13070
1763324823867355165,[ 0 42  0 16  0  0 51 15],8,259,Statistics,865999761,1763324823,16,42,13071
1763324824872489793,[ 0 42  0 16  0  0 51 16],8,259,Statistics,870697010,1763324824,16,42,13072
1763324825872453987,[ 0 42  0 16  0  0 51 17],8,259,Statistics,872123008,1763324825,16,42,13073
1763324826873146741,[ 0 42  0 16  0  0 51 18],8,259,Statistics,872776562,1763324826,16,42,13074
1763324827879455328,[ 0 42  0 16  0  0 51 19],8,259,Statistics,878989884,1763324827,16,42,13075
1763324828880462631,[ 0 42  0 16  0  0 51 20],8,259,Statistics,879419230,1763324828,16,42,13076
1763324829890682182,[ 0 42  0 16  0  0 51 21],8,259,Statistics,889935648,1763324829,16,42,13077
1763324830891547904,[ 0 42  0 16  0  0 51 22],8,259,Statistics,891229565,1763324830,16,42,13078
1763324831894522644,[ 0 42  0 16  0  0 51 23],8,259,Statistics,893875951,1763324831,16,42,13079
1763324832901948312,[ 0 42  0 16  0  0 51 24],8,259,Statistics,901637430,1763324832,16,42,13080
1763324833895784530,[ 0 42  0 16  0  0 51 25],8,259,Statistics,895258413,1763324833,16,42,13081
1763324834900419217,[ 0 42  0 16  0  0 51 26],8,259,Statistics,900190735,1763324834,16,42,13082
1763324835906997898,[ 0 42  0 16  0  0 51 27],8,259,Statistics,906463141,1763324835,16,42,13083
1763324836915184218,[ 0 42  0 16  0  0 51 28],8,259,Statistics,913237033,1763324836,16,42,13084
1763324837915445328,[ 0 42  0 16  0  0 51 29],8,259,Statistics,914237253,1763324837,16,42,13085
1763324838916706935,[ 0 42  0 16  0  0 51 30],8,259,Statistics,916489590,1763324838,16,42,13086
1763324839920127387,[ 0 42  0 16  0  0 51 31],8,259,Statistics,919658551,1763324839,16,42,13087
1763324840920247211,[ 0 42  0 16  0  0 51 32],8,259,Statistics,918561629,1763324840,16,42,13088
1763324841929091568,[ 0 42  0 16  0  0 51 33],8,259,Statistics,928688620,1763324841,16,42,13089
1763324842929626998,[ 0 42  0 16  0  0 51 34],8,259,Statistics,929019601,1763324842,16,42,13090
1763324843933786341,[ 0 42  0 16  0  0 51 35],8,259,Statistics,933072863,1763324843,16,42,13091
1763324844938056222,[ 0 42  0 16  0  0 51 36],8,259,Statistics,937596634,1763324844,16,42,13092
1763324845941787676,[ 0 42  0 16  0  0 51 37],8,259,Statistics,941556922,1763324845,16,42,13093
1763324846943506225,[ 0 42  0 16  0  0 51 38],8,259,Statistics,942365863,1763324846,16,42,13094
1763324847951011970,[ 0 42  0 16  0  0 51 39],8,259,Statistics,949179890,1763324847,16,42,13095
1763324848948251075,[ 0 42  0 16  0  0 51 40],8,259,Statistics,947278746,1763324848,16,42,13096
1763324849949915091,[ 0 42  0 16  0  0 51 41],8,259,Statistics,949136460,1763324849,16,42,13097
1763324850957260510,[ 0 42  0 16  0  0 51 42],8,259,Statistics,956676057,1763324850,16,42,13098
