timestamp,can_msg.data,can_msg.dlc,can_msg.id,glow_plug_i,glow_plug_v,header.frame_id,header.stamp.nanosec,header.stamp.sec,sekevence
1761498932761829774,[  0   0   0   0   7 209   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,761422255,1761498932,2001
1761498932854547693,[  0   0   0   0   7 209   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,854309936,1761498932,2001
1761498932947448018,[  0   0   0   0   7 209   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,947143803,1761498932,2001
1761498933049937450,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,49681063,1761498933,-29
1761498933142092027,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,141782275,1761498933,-29
1761498933254391722,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,254039137,1761498933,-29
1761498933346549244,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,346174570,1761498933,-29
1761498933458918118,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,458647260,1761498933,-29
1761498933540663108,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,540443278,1761498933,-29
1761498933694538500,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,694243473,1761498933,-29
1761498933766928042,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,766588646,1761498933,-29
1761498933862863193,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,862504494,1761498933,-29
1761498933944778394,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,944523767,1761498933,-29
1761498934057125306,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,56858835,1761498934,-29
1761498934148826957,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,148667055,1761498934,-29
1761498934261426509,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,261010988,1761498934,-29
1761498934343928667,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,342979757,1761498934,-29
1761498934456576110,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,456340050,1761498934,-29
1761498934550336988,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,549613124,1761498934,-29
1761498934704202793,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,703889008,1761498934,-29
1761498934777115774,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,776561415,1761498934,-29
1761498934859397687,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,859225685,1761498934,-29
1761498934951615505,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,951209813,1761498934,-29
1761498935063623388,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,63312260,1761498935,-29
1761498935145367475,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,145086760,1761498935,-29
1761498935257775464,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,257524839,1761498935,-29
1761498935350125991,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,349734129,1761498935,-29
1761498935464440664,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,463993388,1761498935,-29
1761498935556450196,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,556239812,1761498935,-29
1761498935700219505,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,699972242,1761498935,-29
1761498935772257754,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,771910197,1761498935,-29
1761498935864293697,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,864105209,1761498935,-29
1761498935956760782,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,956444788,1761498935,-29
1761498936058726412,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,58460326,1761498936,-29
1761498936150541235,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,150305817,1761498936,-29
1761498936262883951,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,262533450,1761498936,-29
1761498936355020594,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,354441045,1761498936,-29
1761498936467045301,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,466723482,1761498936,-29
1761498936559006612,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,558673749,1761498936,-29
1761498936702042538,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,701779526,1761498936,-29
1761498936773914588,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,773578780,1761498936,-29
1761498936866298109,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,865954938,1761498936,-29
1761498936957963211,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,957555087,1761498936,-29
1761498937070186545,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,69889632,1761498937,-29
1761498937152429510,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,152196493,1761498937,-29
1761498937265353890,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,264931394,1761498937,-29
1761498937357895348,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,357302003,1761498937,-29
1761498937470154612,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,469600578,1761498937,-29
1761498937561778667,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,561504291,1761498937,-29
1761498937715227551,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,714938642,1761498937,-29
1761498937787802181,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,787284193,1761498937,-29
1761498937869966748,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,869554144,1761498937,-29
1761498937961967938,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,961692281,1761498937,-29
1761498938074188417,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,73944069,1761498938,-29
1761498938156164803,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,155732256,1761498938,-29
1761498938268139838,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,267918443,1761498938,-29
1761498938360002664,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,359823461,1761498938,-29
1761498938472391263,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,472082795,1761498938,-29
1761498938564873906,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,564592232,1761498938,-29
1761498938719440458,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,719147003,1761498938,-29
1761498938792370911,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,792097176,1761498938,-29
1761498938874905811,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,874359333,1761498938,-29
1761498938967097721,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,966783971,1761498938,-29
1761498939079842423,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,79385100,1761498939,-29
1761498939161656944,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,161379592,1761498939,-29
1761498939275034912,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,274667959,1761498939,-29
1761498939366614171,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,366325615,1761498939,-29
1761498939480182963,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,479935350,1761498939,-29
1761498939562883831,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,562299196,1761498939,-29
1761498939716756233,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,716408551,1761498939,-29
1761498939789552022,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,789294198,1761498939,-29
1761498939881937407,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,881602082,1761498939,-29
1761498939963977068,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,963511230,1761498939,-29
1761498940076033242,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,75740718,1761498940,-29
1761498940168117006,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,167940941,1761498940,-29
1761498940280790304,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,280455044,1761498940,-29
1761498940372495271,[  0   0   0   0 255 227   0   0],7,264,[0. 0.],[0. 0.],Glow Plugs,372267923,1761498940,-29
